Date,Open,High,Low,Close,Adj Close,Volume
2022-07-11,193.380005,193.750000,185.580002,192.509995,188.598389,15266700
2022-07-18,194.289993,200.800003,190.539993,197.899994,193.878860,16240800
2022-07-25,198.339996,206.779999,195.279999,206.250000,202.059204,14830900
2022-08-01,204.970001,208.529999,203.880005,207.679993,203.460144,14400200
2022-08-08,208.619995,214.990005,205.970001,214.940002,210.572647,12933400
2022-08-15,213.839996,217.199997,211.229996,211.789993,207.486633,15517900
2022-08-22,209.080002,210.919998,203.699997,203.770004,199.629608,13214500
2022-08-29,202.199997,203.949997,195.529999,196.710007,192.713058,19606100
2022-09-05,197.470001,204.850006,194.729996,204.449997,200.295776,14340000
2022-09-12,205.529999,206.990005,192.820007,194.630005,190.675323,18177700
2022-09-19,192.899994,196.410004,181.820007,184.259995,180.516022,23180700
2022-09-26,183.500000,186.699997,179.279999,179.470001,176.569809,37116100
2022-10-03,181.520004,190.690002,180.229996,182.399994,179.452454,26646700
2022-10-10,182.899994,185.990005,174.839996,179.419998,176.520615,23165500
2022-10-17,182.759995,188.699997,182.289993,187.490005,184.460205,16539100
2022-10-24,188.380005,195.529999,186.690002,195.289993,192.134140,18641100
2022-10-31,193.990005,196.440002,185.130005,188.940002,185.886780,27135500
2022-11-07,189.589996,200.699997,187.210007,200.160004,196.925461,30758900
2022-11-14,199.259995,202.139999,195.449997,198.419998,195.213577,18503100
2022-11-21,197.720001,201.830002,196.649994,201.539993,198.283142,10326800
2022-11-28,199.929993,205.470001,197.039993,203.990005,200.693558,17479200
2022-12-05,202.509995,202.960007,195.839996,196.699997,193.521378,18947100
2022-12-12,197.000000,205.630005,191.419998,192.690002,189.576172,21747200
2022-12-19,192.800003,194.649994,187.380005,191.419998,188.326691,26412900
2022-12-26,191.389999,192.160004,188.059998,191.190002,189.007263,23155100
